Country	Type	Mountain	Latitude	Longitude	Elevation
Indonesia	Mountain	Mount Kawi	-8.006046	112.481942	1250 m
Indonesia	Volcano	Mount Bromo	-7.9440192	112.9550056	2000 m
Indonesia	Mountain	Mount Batur	-8.2627023	115.3534522	1412 m
Indonesia	Mountain	Puncak Jaya	-4.04287	137.054459	5030 m
Iran	Mountain	Mount Hazār	29.5116031	57.2722274	4465 m
India	Mountain	Kingu DI Mali Mountain	34.693142	74.019717	3361 m
India	Mountain	Lund Mountain	34.784972	74.318419	3656 m
India	Mountain	Shalabut Mountain	34.482907	74.311639	2056 m
India	Mountain	Bod Bal Mountain	34.491104	74.347001	2500 m
India	Mountain	Chandigam Bal Mountain	34.455269	74.375123	2330 m
India	Mountain	Shahkut Mountain	34.469146	74.40015	2011 m
India	Mountain	Poslut Mountain	34.499787	74.484621	2680 m
India	Mountain	Markul Mountain	34.466773	74.463668	2195 m
India	Mountain	Bumus Mountain	34.461606	74.485833	2580 m
India	Mountain	Wadori Mountain	34.370681	73.916708	3331 m
India	Mountain	Koni Rawal Mountain	34.366642	73.937557	3994 m
India	Mountain	Palaphar Mountain	34.370298	73.997672	3796 m
India	Mountain	Shamahabari Mountain	34.351399	73.949548	4120 m
India	Mountain	Nangi Jinjar Mountain	34.302089	73.99484	3520 m
India	Mountain	Ench Mountain	34.413689	74.016203	3205 m
India	Mountain	Shonth Mountain	34.439155	74.116732	2166 m
India	Mountain	Yadal Mountain	34.364697	74.079435	3117 m
India	Mountain	Pathri Jinjar Mountain	34.291752	74.033327	3320 m
India	Mountain	Chhota Kazinag Mountain	34.149831	73.950022	2960 m
India	Mountain	Nanga Par Mountain	34.152488	73.992922	2997 m
India	Mountain	Bisiwali Mountain	34.262466	74.015742	3731 m
India	Mountain	Kazi Nag Dhar Mountain	34.261772	74.065731	4070 m
India	Mountain	Timar Tikan Mountain	34.408127	74.212123	1761 m
India	Mountain	Pabat Mountain	34.38939	74.266836	5606 m
India	Mountain	Gosin Tang Mountain	34.447338	74.276982	5909 m
India	Mountain	Kralasangar Mountain	34.42143	74.3139	1797 m
India	Mountain	Dional Mountain	34.423634	74.348935	2222 m
India	Mountain	Tsaindgam Bal Mountain	34.449604	74.377747	2421 m
India	Mountain	Demnari Mountain	34.448524	74.43363	2051 m
India	Mountain	Kowut Mountain	34.419301	74.436138	2766 m
India	Mountain	Kowutdor Mountain	34.42718	74.42927	2632 m
India	Mountain	Shal Tang Mountain	34.399394	74.379583	1793 m
India	Mountain	Arawan Mountain	34.37869	74.425218	6532 m
India	Mountain	Rajkain Mountain	34.417986	74.498663	2386 m
India	Mountain	Hapatbut Mountain	34.401258	74.484836	2335 m
India	Mountain	Khanu Mountain	34.371223	74.463694	1983 m
India	Mountain	Orni Jabbar Mountain	34.065107	73.958329	2378 m
